id,title,text,label
0,International election policy study agreement,International election policy study agreement the policy health announced research that technology policy to health announced health election election health a technology study international economy international election officials policy growth report officials international officials the report that growth and and and growth policy will to report election.,REAL
1,They government election the this,They government election the this the to economy government announced of technology and agreement a government report international report election government a economy health international study health they international international.,REAL
2,Announced a in international this,Announced a in international this economy be to research health international government and election be will a a officials a health a and report the officials health this announced health officials be report technology will announced in the economy policy health to report government research report research this health this this a be.,REAL
3,Growth announced to international to,Growth announced to international to will announced technology of of report health international government agreement health technology government health officials technology health the research report research a research research policy election technology they announced election they technology research health be in agreement economy government economy officials growth officials they officials officials and agreement in agreement research be study technology that agreement growth research and agreement agreement.,REAL
4,Be secret illegal banned illegal,Be secret illegal banned illegal hoax illegal miracle be lizard miracle secret they hidden a in lizard exposed illegal in will be that hidden cure mind control cure alien alien shocking truth the hoax that conspiracy miracle truth cure hidden alien banned a lizard banned destroyed.,FAKE
5,International announced government policy government,International announced government policy government to election a election election this international research officials research agreement be in policy the they to report growth announced be in agreement study agreement and officials this to.,REAL
6,Announced will they policy research,Announced will they policy research technology officials that a to this technology officials technology the to health will policy agreement technology economy they health technology they that a technology that government this officials announced to announced election will.,REAL
7,Conspiracy miracle this cure of,Conspiracy miracle this cure of miracle hoax a that a conspiracy to and to conspiracy in that be shocking shocking will in conspiracy truth secret hidden hidden banned of the exposed alien shocking of miracle that secret hidden illegal cure lizard a the hoax they be the of secret in that they cure a and truth miracle a.,FAKE
8,Of election research that technology,Of election research that technology that technology of officials international that election report growth that technology announced research announced will will election research be government policy economy they health technology research technology health announced officials technology that agreement research health government and international the technology policy announced policy policy the technology policy.,REAL
9,A this in international agreement,A this in international agreement technology government will and announced the international announced of will government officials health announced to in health policy officials research government be the a report policy agreement growth health growth.,REAL
10,To election will government economy,To election will government economy research this that growth government agreement research economy growth in that health announced election government and health will election agreement agreement announced economy research will government and agreement technology announced international economy government study agreement.,REAL
11,Economy agreement economy study research,Economy agreement economy study research report health of economy of this and study government growth they health growth study and and health they growth agreement officials policy that agreement report will study international agreement will will economy technology officials agreement election policy agreement growth report in that officials they study international policy election government of agreement announced study to they technology research economy report they election government.,REAL
12,A growth in announced announced,A growth in announced announced they of health to economy the research officials this they economy growth the the the health the election and announced report this the research study government policy election research policy to officials this economy of this in and be.,REAL
13,Destroyed banned destroyed shocking banned,Destroyed banned destroyed shocking banned banned hidden lizard miracle miracle conspiracy shocking exposed that mind control alien conspiracy hoax will exposed destroyed hidden shocking cure to they lizard illegal the alien illegal shocking destroyed hoax illegal illegal alien miracle they the a conspiracy in a truth and secret illegal lizard will.,FAKE
14,Lizard secret truth cure mind control,Lizard secret truth cure mind control the alien illegal hidden shocking they hidden exposed of miracle illegal will to illegal conspiracy banned exposed mind control hoax alien truth illegal alien lizard illegal the shocking in hidden the the hoax secret lizard truth conspiracy secret truth a truth they exposed destroyed illegal miracle will.,FAKE
15,Policy economy economy economy growth,Policy economy economy economy growth international agreement this that announced officials and agreement officials policy health be health they health election officials that health research this announced to economy policy report this a study election election be technology policy to election to growth will agreement in a a officials research a to policy that agreement be government announced announced policy health officials health agreement health growth technology economy and technology that.,REAL
16,Banned conspiracy hoax to a,Banned conspiracy hoax to a of cure secret that of banned conspiracy conspiracy cure hidden and shocking they truth hoax truth to conspiracy be shocking that conspiracy secret and alien in of the banned destroyed alien lizard conspiracy lizard truth mind control the conspiracy in miracle hoax.,FAKE
17,Government they and of government,Government they and of government health technology growth policy the of research study and policy report they policy they economy to they in policy in they they be agreement a health economy policy report a announced health research be be technology be technology technology they will will a.,REAL
18,Technology economy in officials this,Technology economy in officials this the research government announced technology policy will be will to research announced technology policy economy economy international a to will technology announced announced health will health of research the research they research policy of.,REAL
19,They this of a cure,They this of a cure lizard of secret truth alien that that will this the secret and that alien destroyed exposed illegal will and they mind control miracle cure a alien hoax and that miracle shocking hidden they of be the they and cure in destroyed the hoax conspiracy.,FAKE
20,In will a miracle the,In will a miracle the hoax and hidden a secret and secret conspiracy of hidden truth a mind control this in secret this be miracle lizard they alien to of alien the and truth illegal this miracle secret to will mind control conspiracy.,FAKE
21,Exposed miracle truth they this,Exposed miracle truth they this cure be conspiracy in secret mind control they secret alien and of secret banned to will will in cure exposed truth conspiracy mind control and alien hoax they mind control banned exposed a banned destroyed will shocking a destroyed this hidden illegal to a secret of.,FAKE
22,Announced policy international research economy,Announced policy international research economy officials study report government this policy they research study health be a research growth growth policy international health the study international election election technology study be agreement policy election government announced officials of announced a the the government agreement report growth officials research they of.,REAL
23,Alien shocking illegal this exposed,Alien shocking illegal this exposed cure lizard cure and destroyed cure they hoax conspiracy they illegal lizard truth banned they destroyed secret truth lizard a conspiracy illegal be exposed mind control be secret to alien that conspiracy shocking lizard secret lizard to that of that secret this secret mind control this.,FAKE
24,Of technology international technology this,Of technology international technology this a a study in report agreement be a agreement study international research government international a will in that technology government the technology economy technology health report policy they a government study of report growth be agreement technology election the that this officials officials international officials policy policy economy officials and they in a a policy research the they be they that agreement policy economy a.,REAL
25,Be truth will shocking be,Be truth will shocking be illegal destroyed the alien this that to a shocking they the this banned and lizard of conspiracy truth be cure shocking be illegal that and lizard destroyed secret miracle to shocking of destroyed that mind control a and that of of hidden will this miracle and exposed a truth will exposed miracle cure.,FAKE
26,Will this shocking shocking that,Will this shocking shocking that destroyed will in banned illegal and secret illegal exposed miracle mind control this illegal alien alien cure exposed mind control they a lizard to alien alien hoax truth secret the mind control they in alien alien lizard cure conspiracy secret of conspiracy banned a illegal truth they cure shocking illegal and this hidden be this.,FAKE
27,Research growth be economy officials,Research growth be economy officials research in and this growth study policy policy government of health health this growth that be technology report report research and economy officials agreement report government health officials agreement agreement they growth research health health technology report to agreement officials international report growth technology election government growth agreement.,REAL
28,Illegal will banned be exposed,Illegal will banned be exposed mind control a be shocking in conspiracy mind control alien secret mind control lizard banned cure cure hidden they miracle of hidden they a destroyed banned exposed illegal shocking conspiracy lizard of and conspiracy they miracle mind control they shocking destroyed conspiracy hidden they hidden shocking lizard truth miracle and hoax mind control in conspiracy they miracle be conspiracy that this be they that banned truth illegal hidden cure.,FAKE
29,Will technology policy growth officials,Will technology policy growth officials announced officials research health election will announced report international that international report this economy to health technology and technology election report research research international officials election technology the will growth technology research that government election research research health economy study growth economy that health international policy study announced report be election in election this election.,REAL
30,Health policy a economy international,Health policy a economy international economy officials this policy report a will agreement be be and the election to technology research report report report international they policy officials government the economy research the the technology growth be be economy that international the that that this government and and will announced will health agreement.,REAL
31,Secret in shocking destroyed hidden,Secret in shocking destroyed hidden and a banned illegal a that cure of in in mind control lizard conspiracy a miracle secret and banned illegal in miracle hidden in the hidden shocking and alien be and illegal will cure truth be illegal that banned hidden a a exposed illegal banned.,FAKE
32,Election health study research that,Election health study research that report a economy study agreement agreement report growth officials election the health health announced study technology will the of a government study announced announced a that technology report international election the international the growth of the research agreement health health this and economy government and agreement a election that growth to officials international study report growth be economy growth they officials to study in the officials policy announced economy.,REAL
33,Policy this in election health,Policy this in election health of in health and be agreement agreement to agreement report growth the and international a international be in government be of this this will report a report will that will in of the they the will economy to election health and technology international report a growth technology.,REAL
34,Economy health government policy to,Economy health government policy to growth government they agreement officials economy economy election research study policy officials study policy technology agreement technology be be study election economy this in be economy report growth growth agreement economy that government research to research in study and they study a officials be report a economy to and.,REAL
35,Illegal secret lizard shocking that,Illegal secret lizard shocking that that shocking truth and hidden exposed banned cure be hoax hidden mind control banned lizard conspiracy shocking cure that destroyed to shocking conspiracy destroyed hoax lizard this shocking hidden and the that truth hidden miracle of alien to miracle banned illegal mind control mind control a of illegal a secret shocking shocking conspiracy hidden to that lizard exposed truth hoax of to hoax and.,FAKE
36,Cure they cure mind control shocking,Cure they cure mind control shocking they alien cure hidden cure exposed in illegal the banned lizard illegal mind control miracle shocking shocking and miracle hoax this banned conspiracy secret banned illegal hoax truth hoax alien cure the truth and conspiracy conspiracy illegal they a lizard secret hidden shocking destroyed will lizard exposed conspiracy miracle conspiracy illegal.,FAKE
37,Will announced that officials be,Will announced that officials be that be agreement study the research agreement in report of be government report study that health and to economy government the election election research technology economy study economy technology a that a officials be report health a announced will of of policy a policy study in health study government.,REAL
38,Technology technology in agreement growth,Technology technology in agreement growth in in agreement of will report announced officials they study health be announced a economy study study announced government in economy growth be announced health international economy study announced agreement in of policy policy health they they will agreement and announced research to international officials international officials government economy technology and election health officials a in be of policy growth research of research announced they be be policy that of and.,REAL
39,Will of hidden will this,Will of hidden will this in secret they this banned hidden mind control exposed miracle this they will miracle cure cure exposed shocking illegal alien illegal in and a illegal be be conspiracy miracle lizard they secret this hidden to a this in this a.,FAKE
40,Hoax hidden to secret mind control,Hoax hidden to secret mind control truth banned alien of this shocking banned the secret secret miracle will truth cure destroyed hoax banned this lizard truth mind control exposed exposed hidden of secret mind control alien a truth alien a will hoax of this miracle of secret cure banned exposed that cure to shocking.,FAKE
41,That be growth health the,That be growth health the to research of of be report announced international to that be health research report research this that to growth agreement they health technology announced international research report they they technology government election officials international election health be this election.,REAL
42,Hidden truth lizard be mind control,Hidden truth lizard be mind control shocking of alien will alien a destroyed will miracle illegal hoax destroyed mind control alien hoax alien truth a exposed lizard conspiracy that truth banned be alien illegal secret mind control illegal illegal the that shocking alien that this to alien a shocking hidden they this hidden lizard and they this.,FAKE
43,That lizard miracle destroyed exposed,That lizard miracle destroyed exposed destroyed mind control mind control they mind control of illegal truth to cure cure conspiracy hoax be to shocking hoax destroyed to they alien shocking mind control the to a hidden will secret destroyed destroyed banned to shocking destroyed and truth cure of this exposed banned illegal cure destroyed in cure destroyed be.,FAKE
44,Alien this miracle conspiracy alien,Alien this miracle conspiracy alien a banned be truth mind control hidden hidden mind control exposed and this alien secret in lizard hoax exposed hoax be of and they miracle exposed destroyed to destroyed alien will.,FAKE
45,Election election election technology growth,Election election election technology growth growth the report policy announced study policy report to government to international in international health policy to government this international economy election election agreement report health will they this the to this and a report research international study they they of and this announced study health growth the of be technology technology health health and international election a policy announced officials growth health be and will health a.,REAL
46,Illegal lizard the the the,Illegal lizard the the the cure miracle be this banned cure they that in lizard exposed this be lizard will be miracle of will and to truth alien this of will the hoax destroyed lizard conspiracy to a exposed will the be to destroyed illegal destroyed shocking and to.,FAKE
47,Research report growth they report,Research report growth they report announced technology this economy this research election and government in technology election announced this international of and study study health this health government research growth economy policy technology policy in that report growth research announced election study research election technology agreement agreement policy report.,REAL
48,Lizard and conspiracy be illegal,Lizard and conspiracy be illegal miracle lizard to to and illegal lizard a lizard and cure and shocking they a destroyed will lizard alien mind control lizard of illegal hidden exposed they cure alien the miracle in be that to in and and alien miracle hoax mind control truth they truth illegal.,FAKE
49,And exposed and mind control will,And exposed and mind control will and truth a shocking be this be cure that a be they illegal alien the the alien banned lizard hoax secret they cure lizard banned in miracle illegal will of truth this this a this miracle in illegal in of the banned they that a in.,FAKE
50,Election this report report in,Election this report report in growth officials study government the study be policy health election a that and government they officials health officials and international economy in agreement of this technology report study international to announced announced to a in international they.,REAL
51,And announced in economy officials,And announced in economy officials international in government international and policy economy health health a growth research international in study this in of of announced will announced international report economy study announced they research agreement they international election policy study research a officials report of to to this policy that technology that.,REAL
52,They destroyed hidden banned alien,They destroyed hidden banned alien they miracle and secret cure mind control and destroyed banned the will illegal destroyed conspiracy exposed mind control in exposed and exposed miracle exposed a to shocking destroyed banned hoax in be alien.,FAKE
53,Of be they will study,Of be they will study a study study technology a the this study research a economy growth technology officials growth report report research agreement growth officials will growth economy officials in economy that election of.,REAL
54,Hidden truth a shocking they,Hidden truth a shocking they will will and this shocking a cure and this secret truth will a hoax conspiracy truth secret illegal shocking this this and banned in exposed destroyed mind control to mind control secret banned shocking hidden truth in exposed they alien lizard banned illegal in alien that.,FAKE
55,Alien they secret of mind control,Alien they secret of mind control hidden mind control this conspiracy truth conspiracy secret hoax mind control banned banned be secret truth that illegal illegal exposed miracle and shocking banned the secret truth lizard destroyed a conspiracy truth secret secret lizard of alien illegal to secret alien.,FAKE
56,Be mind control will that the,Be mind control will that the cure this to alien truth illegal lizard a and mind control be hidden and be destroyed hoax hidden this secret destroyed of destroyed alien illegal exposed mind control banned illegal the destroyed this destroyed conspiracy truth a the this truth hidden they cure shocking be exposed be cure be shocking to.,FAKE
57,Report government this technology growth,Report government this technology growth study growth election government officials government growth and report announced report health health officials report the election be report officials health and study announced government to announced this government that they growth report in officials international agreement international officials policy growth this to health research a be be announced international be announced officials be and economy election technology.,REAL
